"Do not remember my cards","Ne jegyezze meg a bankkártyáimat"
"In case of paying by card, the card's reference number will be saved for further payments.","Bankkártyás fizetés esetén a kártya referenciaszámát elmenti a rendszer a késõbbi fizetések céljára."
"Order details","Szczegóły zamówienia"
"Pay with Przelewy24","Przelewy24 útján fizet"
"This payment will be increased by","Ezt a kifizetést növeli a következõ:"
"Yes, I have read and accept","Igen, elolvastam és elfogadtam"
"Przelewy24.pl terms","a Przelewy24 szerzõdéses feltételeket"
"More payment methods","További fizetési módok"
"Recently used","Nemrég használt"
"Use card","Bankkártyát használ"
"Are You sure?","Biztos benne?"
"Payment by card","Fizetés Bankkártyával"
"Cardholder name","Kártyabirtokos neve"
"Card number","Bankkártya száma"
"Expiry date","Lejárat dátuma"
"Confirm","Jóváhagyás"
"My payment cards","A fizetési kártyák"
"Delete","Töröl"
"Save","Mentés"
"Click here to continue shopping","Kattintson ide a vásárlás folytatásához"
"Bankkártyáim","Moje karty płatnicze"
"Payment cards not found.","Nincsenek bankkártyák"
"Your payment cards are listed below.","Bankkártyái az alábbi felsorolásban szerepelnek."
"Waiting for payment.","Fizetésre vár."
"The payment has been accepted.","Fizetés elfogadva."
"Payment error.","Hiba a fizetésnél."
"Your card","Az Ön bankkártyája"
"The link for payment with Przelewy24 has been sent by e-mail","A Przelewy24 útján történõ fizetéshez szükséges linket elküldtük e-mailen"
"Thank you for your payment.","Köszönjük a fizetést."
"IVR payment with P24","IVR (hangválaszos) fizetés P24-gyel"
"Are you sure you want to start the payment process by Przelewy24 IVR and call the customer back?","Biztosan el akarja indítani a Przelewy24 IVR fizetési eljárását, és vissza akarja hívni a vásárlót?"
"Send an e-mail with the link for P24","P24-es link küldése e-mailen"
"Are you sure you want to send the customer an e-mail link and start the payment process with Przelewy24?","Biztosan el akarja küldeni a vásárlónak az e-mail linket, és el akarja indítani a fizetési eljárást a Przelewy24 útján?"
"Order payment","Megrendelés kifizetése"
"To confirm your order make the payment by clicking on the link below","Megrendelése jóváhagyásához fizessen a lenti linkre kattintva"
"Make a payment","Fizetés"
"Przelewy24 - Refunds","Przelewy24 - visszatérítések"
"Send refund to Przelewy24","Visszatérítést küld a Przelewy24-nek"
"SOAP extension is not installed!","Nincs telepítve a SOAP bõvítmény!"
"Here you can send a refund to the customer. The amount of the refund may not exceed the value of the transaction and the amount of funds available in your account.","Itt küldhet visszatérítést a vásárlónak. A visszatérítés összege nem haladhatja meg a tranzakció értékét és az Ön egyenlegének pénzösszegét sem."
"Amount to refund","Visszatérítendõ összeg"
"Error","Hiba"
"Completed","Befejezve"
"Pending","Függõben"
"Rejected","Visszautasítva"
"Unknown status","Ismeretlen státusz,"
"This will generate outgoing transfer. Can you confirm the operation?","Ez elindítja a kimenõ átutalást. Jóváhagyja a mûveletet?"
"The payment has already been fully refunded - no funds to make further returns","A fizetett összeg már teljes mértékben vissza lett térítve - nincs pénz további visszatérítésekre."
"Allowed amount range","Megengedett összeg tartomány"
"Refund was successful","A visszatérítés sikeres volt"
"The payment has already been fully refunded - no funds to make further returns.","A fizetett összeg már teljes mértékben vissza lett térítve - nincs pénz további visszatérítésekre."
"Refund processing error!","Visszatérítés feldolgozási hiba!"
"Przelewy24 - refunds list","Przelewy24 - visszatérítések listája"
"Amount","Összeg"
"Date of refund","Visszatérítés dátuma"
"Amount refunded","Visszatérített összeg"
"There is no refunds.","Nincsenek visszatérítések"
"Failed to send the payment email.","Nem sikerült elküldeni a fizetési e-mailt"
"Extra charge [VAT and discounts]","Külön díj [Áfa és engedmények]"
"Your order","Az Ön megrendelése"

